SJNB, Test_session, Date, Age, trial, boxcount1, boxcount2, RT 
006,1,14-Feb-2019 11:55,6,1,1,0,6080
006,1,14-Feb-2019 11:55,6,2,2,0,1140
006,1,14-Feb-2019 11:55,6,3,3,0,1128
006,1,14-Feb-2019 11:55,6,4,3,1,810
006,1,14-Feb-2019 11:55,6,5,3,2,856
006,1,14-Feb-2019 11:55,6,6,3,3,976
