SJNB, Test_session, Date, Age, trial, Stimuli_type, key, timage, tkey, RT, Timing, Scale, Att_RT, Att_x, Att_y 
001,1,10-Dec-2018,1,1,4,space,1.636242e+06,1.636805e+06,2730,None,2.0,558156,185,205
001,1,10-Dec-2018,1,2,4,space,1.636806e+06,1.636845e+06,2297,None,-5.0,34803,-510,-490
001,1,10-Dec-2018,1,3,4,space,1.636847e+06,1.636852e+06,2159,None,1.0,1164,95,115
001,1,10-Dec-2018,1,4,4,space,1.636853e+06,1.636861e+06,2069,None,-5.0,3079,-510,-490
001,1,10-Dec-2018,1,5,4,space,1.636862e+06,1.636867e+06,740,None,3.0,2430,295,315
001,1,10-Dec-2018,1,6,4,space,1.636869e+06,1.636875e+06,1220,None,5.0,3412,490,510
001,1,10-Dec-2018,1,1,1,LeftArrow,1.637930e+06,1.637931e+06,921,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,2,1,DownArrow,1.637934e+06,1.637935e+06,942,Delayed,999.0,999,999,999
001,1,10-Dec-2018,1,3,1,LeftArrow,1.637939e+06,1.637939e+06,758,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,4,1,LeftArrow,1.637943e+06,1.637944e+06,951,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,5,1,DownArrow,1.637947e+06,1.637948e+06,448,Delayed,999.0,999,999,999
001,1,10-Dec-2018,1,6,1,LeftArrow,1.637951e+06,1.637952e+06,537,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,7,2,LeftArrow,1.637955e+06,1.637956e+06,627,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,8,2,DownArrow,1.637959e+06,1.637962e+06,2619,Delayed,999.0,999,999,999
001,1,10-Dec-2018,1,9,2,LeftArrow,1.637965e+06,1.637966e+06,683,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,10,2,LeftArrow,1.637969e+06,1.637970e+06,566,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,11,2,LeftArrow,1.637973e+06,1.637974e+06,1029,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,12,2,LeftArrow,1.637978e+06,1.638038e+06,0,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,13,3,LeftArrow,1.638039e+06,1.638099e+06,0,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,14,3,LeftArrow,1.638101e+06,1.638161e+06,0,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,15,3,LeftArrow,1.638162e+06,1.638222e+06,0,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,16,3,LeftArrow,1.638223e+06,1.638283e+06,0,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,17,3,LeftArrow,1.638285e+06,1.638345e+06,0,Immediate,999.0,999,999,999
001,1,10-Dec-2018,1,18,3,LeftArrow,1.638346e+06,1.638406e+06,0,Immediate,999.0,999,999,999
